2024-10-19 23:51:34,493: Key.cmd
2024-10-19 23:51:35,000: Key.cmd
2024-10-19 23:51:35,020: 'r'
2024-10-19 23:51:36,236: Key.enter
2024-10-19 23:51:38,204: 'a'
2024-10-19 23:51:38,524: 'd'
2024-10-19 23:51:38,940: 'a'
2024-10-19 23:51:39,117: 'm'
2024-10-19 23:51:39,212: 'a'
2024-10-19 23:51:39,564: Key.space
2024-10-19 23:51:39,772: 's'
2024-10-19 23:51:40,045: 'e'
2024-10-19 23:51:40,221: 'y'
2024-10-19 23:51:40,350: 'e'
2024-10-19 23:51:40,572: Key.space
2024-10-19 23:51:41,468: 'p'
2024-10-19 23:51:41,612: 'a'
2024-10-19 23:51:41,964: 's'
2024-10-19 23:51:42,156: 's'
2024-10-19 23:51:42,748: Key.space
2024-10-19 23:51:43,452: Key.backspace
2024-10-19 23:51:43,724: '='
2024-10-19 23:51:44,269: Key.space
2024-10-19 23:51:45,372: 'a'
2024-10-19 23:51:45,964: 'z'
2024-10-19 23:51:46,508: 'e'
2024-10-19 23:51:46,764: 'r'
2024-10-19 23:51:47,020: 't'
2024-10-19 23:51:47,308: 'y'
2024-10-19 23:51:48,764: <97>
2024-10-19 23:51:49,036: <98>
2024-10-19 23:51:49,308: <99>
2024-10-19 23:51:54,556: Key.ctrl_l
2024-10-19 23:51:54,893: '\x03'
2024-10-19 23:51:56,860: Key.ctrl_l
2024-10-19 23:51:57,369: Key.ctrl_l
2024-10-19 23:51:57,400: Key.ctrl_l
2024-10-19 23:51:57,431: Key.ctrl_l
2024-10-19 23:51:57,452: '\x03'
2024-10-19 23:51:57,868: '\x03'
2024-10-19 23:51:58,076: '\x03'
2024-10-19 23:51:58,582: '\x03'
2024-10-19 23:51:58,612: '\x03'
2024-10-19 23:51:58,644: '\x03'
2024-10-19 23:51:58,690: '\x03'
2024-10-19 23:52:08,607: Key.ctrl_l
2024-10-19 23:52:08,935: '\x03'
2024-10-19 23:52:09,187: '\x03'
2024-10-19 23:52:09,390: '\x03'
2024-10-19 23:52:09,611: '\x03'
2024-10-19 23:52:13,922: Key.ctrl_l
2024-10-19 23:52:14,080: '\x03'
2024-10-19 23:52:14,377: '\x03'
2024-10-19 23:52:14,580: '\x03'
2024-10-19 23:52:14,768: '\x03'
2024-10-19 23:52:14,957: '\x03'
2024-10-19 23:52:15,145: '\x03'
2024-10-19 23:52:22,194: Key.ctrl_l
2024-10-19 23:52:22,301: '\x03'
2024-10-19 23:52:22,640: '\x03'
2024-10-19 23:52:22,861: '\x03'
2024-10-19 23:52:23,456: 'c'
2024-10-19 23:52:23,659: 'c'
2024-10-19 23:52:23,847: 'c'
2024-10-19 23:52:24,021: 'c'
2024-10-19 23:52:25,133: Key.shift
2024-10-19 23:52:25,180: Key.ctrl_l
2024-10-19 23:52:25,485: '\x03'
2024-10-19 23:52:25,714: '\x03'
2024-10-19 23:52:25,948: '\x03'
2024-10-19 23:52:26,170: '\x03'
2024-10-19 23:52:26,364: '\x03'
2024-10-19 23:52:26,540: '\x03'
2024-10-19 23:52:26,732: '\x03'
2024-10-19 23:52:27,494: 'h'
2024-10-19 23:52:27,705: 'u'
2024-10-19 23:52:27,705: 'o'
2024-10-19 23:52:27,924: 'y'
2024-10-19 23:52:27,924: 'h'
2024-10-19 23:52:28,113: 's'
2024-10-19 23:52:28,254: 'y'
2024-10-19 23:52:28,473: 's'
2024-10-19 23:52:28,520: 'y'
2024-10-19 23:52:28,709: 's'
2024-10-19 23:52:28,742: 'y'
2024-10-19 23:52:28,993: 'o'
2024-10-19 23:52:29,274: Key.ctrl_l
2024-10-19 23:52:29,461: '\x03'
2024-10-19 23:52:29,724: '\x03'
2024-10-19 23:52:29,931: '\x03'
2024-10-19 23:52:30,103: '\x03'
2024-10-19 23:52:30,293: '\x03'
2024-10-19 23:52:30,481: '\x03'
2024-10-19 23:52:30,668: '\x03'
2024-10-19 23:52:31,673: Key.ctrl_l
2024-10-19 23:52:31,831: Key.space
2024-10-19 23:52:32,081: Key.space
2024-10-19 23:52:32,254: Key.space
2024-10-19 23:52:32,597: Key.ctrl_l
2024-10-19 23:52:32,912: '\x03'
2024-10-19 23:52:33,142: '\x03'
2024-10-19 23:52:33,332: '\x03'
2024-10-19 23:52:33,541: '\x03'
2024-10-19 23:52:40,652: Key.ctrl_l
2024-10-19 23:52:41,152: Key.ctrl_l
2024-10-19 23:52:41,194: Key.ctrl_l
2024-10-19 23:52:41,225: Key.ctrl_l
2024-10-19 23:52:41,256: Key.ctrl_l
2024-10-19 23:52:41,272: '\x03'
2024-10-19 23:52:41,616: '\x03'
2024-10-19 23:52:41,915: '\x03'
2024-10-19 23:52:42,172: '\x03'
2024-10-19 23:52:42,370: '\x03'
2024-10-19 23:52:54,029: 'a'
2024-10-19 23:52:54,496: 'r'
2024-10-19 23:52:54,695: 'r'
2024-10-19 23:52:54,925: 'e'
2024-10-19 23:52:55,127: 't'
2024-10-19 23:52:55,225: 'e'
2024-10-19 23:52:55,443: 'r'
2024-10-19 23:52:55,546: Key.space
2024-10-19 23:52:56,432: 'u'
2024-10-19 23:52:56,721: 'n'
2024-10-19 23:52:56,961: Key.space
2024-10-19 23:52:57,754: 'p'
2024-10-19 23:52:57,932: 'r'
2024-10-19 23:52:58,060: 'o'
2024-10-19 23:52:58,286: 'g'
2024-10-19 23:52:59,932: Key.down
2024-10-19 23:53:00,412: Key.enter
2024-10-19 23:53:16,598: Key.ctrl_l
2024-10-19 23:53:17,100: Key.ctrl_l
